I want to leave : ('I want to leave', '00:02:09,357 --> 00:02:10,357')
Oh take your time Ill just finish my crossword puzzle Oh wait : ('Ill just finish my crossword puzzle Oh wait', '00:01:10,019 --> 00:01:14,750')
I think this is the place : ('I think this is the place', '00:01:03,367 --> 00:01:04,939')
Im sure shell still love him : (' Im sure shell still love him  I wouldnt', '00:02:02,969 --> 00:02:05,567')
Leonard I dont think I can do this : ('Leonard I dont think I can do this', '00:01:25,928 --> 00:01:27,965')
Fill these out : (' Fill these out  Thank you', '00:01:06,149 --> 00:01:07,666')
Sheldon this was your idea A little extra money to get fractional T1 bandwidth in the apartment : ('Sheldon this was your idea A little extra money to get fractional T1 bandwidth in the apartment', '00:01:43,382 --> 00:01:48,577')
I dont know Ive never reneged on a proffer of sperm before : ('I dont know Ive never reneged on a proffer of sperm before', '00:02:13,847 --> 00:02:17,087')
Can I help you : (' Can I help you  Yes', '00:00:50,185 --> 00:00:51,771')
You want to hear an interesting thing about stairs : (' Bye  Bye Nice meeting you You want to hear an interesting thing about stairs', '00:02:32,238 --> 00:02:44,459')
What are you kidding Youre a semipro : ('What are you kidding Youre a semipro', '00:01:28,183 --> 00:01:30,499')
Not really : ('Not really', '00:02:44,927 --> 00:02:45,979')
Thankyou Well be right back : (' Well be right back  Take your time', '00:01:08,001 --> 00:01:09,827')
If you have to ask maybe you shouldnt be here : ('If you have to ask maybe you shouldnt be here', '00:00:59,495 --> 00:01:02,188')
If the height of a single step is off by as little as two millimetres most people will trip : ('If the height of a single step is off by as little as two millimeters  most people will trip  I dont care', '00:02:46,691 --> 00:02:52,014')
Excuse me : (' Excuse me  Hang on', '00:00:23,579 --> 00:00:25,246')
Lets try just walking out : ('Lets try just walking out', '00:02:18,627 --> 00:02:20,076')
I know and I do yearn for faster downloads but theres some poor woman is going to pin her hopes on my sperm what if she winds up with a toddler who doesnt know if he should use an integral or a differential to solve the area under a curve : ('I know and I do yearn for faster downloads But theres some poor woman whos gonna pin her hopes on my sperm What if she winds up with a toddler who doesnt know if he should use an integral or a differential to solve the area under a curve', '00:01:48,699 --> 00:02:02,276')
Are you still mad about the sperm bank : ('Are you still mad about the sperm bank', '00:02:37,429 --> 00:02:39,151')
One across is Aegean eight down is Nabakov twentysix across is MCM fourteen down is move your finger phylum which makes fourteen across PortauPrince See Papa Docs capital idea thats PortauPrince Haiti : ('One across is Aegean Eight down is Nabokov 26 across is MCM Phylum which makes 14 across PortauPrince See Papa Docs capitol idea thats PortauPrince Haiti', '00:00:29,629 --> 00:00:48,677')
So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits If its unobserved it will however if its observed after its left the plane but before it hits its target it will not have gone through both slits : ('So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits If its unobserved it will However if its observed after its left the plane but before it hits its target it wont have gone through both slits', '00:00:00,601 --> 00:00:12,589')
Well what do you want to do : ('Well what do you want to do', '00:02:07,744 --> 00:02:09,235')
I dont care Two millimetres That doesnt seem right : ('Two milli That doesnt seem right', '00:02:53,900 --> 00:02:55,692')
Theres no point I just think its a good idea for a teeshirt : ('Theres no point I just think its a good idea for a Tshirt', '00:00:14,950 --> 00:00:18,140')
Whats the protocol for leaving : ('Whats the protocol for leaving', '00:02:12,155 --> 00:02:13,494')
Yes Um is this the High IQ sperm bank : ('Is this the highIQ sperm bank', '00:00:54,673 --> 00:00:57,626')
Agreed whats your point : ('Agreed Whats your point 14 down is Move your finger', '00:00:12,753 --> 00:00:37,800')
No its true I did a series of experiments when I was twelve my father broke his clavicle : ('No its true I did a series of experiments when I was 12 My father broke his clavicle', '00:02:55,814 --> 00:02:59,881')
No We are committing genetic fraud Theres no guarantee that our sperm is going to generate high IQ offspring think about that I have a sister with the same basic DNA mix who hostesses at Fuddruckers : ('No We are committing genetic fraud Theres no guarantee that our sperm is going to generate highIQ offspring Think about that I have a sister with the same basic DNA mix who hostesses at Fuddruckers', '00:01:31,672 --> 00:01:41,949')
